,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
5153681,Pakistan,PAK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.9411711250776528
5154582,Palau,PLW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.8554304571484
5154909,Panama,PAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.6252762441067703
5155858,Papua New Guinea,PNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.746895234112231
5156561,Paraguay,PRY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.841915242121446
5157609,Peru,PER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.7832331442343
5158709,Philippines,PHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8678453433512341
5159633,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.33578670557733
5160414,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.709849624345019
5161482,Qatar,QAT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,44.0189263670224
5162111,Romania,ROM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.21056012429912
5163109,Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,12.647328232506302
5163858,Rwanda,RWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0628741973256297
5164759,Samoa,WSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.25211007608011
5165701,Sao Tome and Principe,STP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.587909256438739
5166412,Saudi Arabia,SAU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,18.0724507178889
5167064,Senegal,SEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.588334149509437
5168094,Serbia,SRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.7991149969056295
5169049,Seychelles,SYC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.835706362004089
5169647,Sierra Leone,SLE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.152044167890243
5170422,Singapore,SGP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.32015143623281
5171092,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.367545917444919
5171842,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.504259702276309
5172592,Solomon Islands,SLB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.368304169270601
5173232,Somalia,SOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0587068801132291
5173722,South Africa,ZAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.25721647223847
5175009,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.79076423425033
5175776,Sri Lanka,LKA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.7299208395227371
5176701,St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.05096418732782
5177224,St. Lucia,LCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.27042358794721
